,Geneid,gene_name,SRX9432645_SRR12981000_1Aligned.sortedByCoord.out.bam,SRX9432644_SRR12980999_1Aligned.sortedByCoord.out.bam,SRX9432646_SRR12981001_1Aligned.sortedByCoord.out.bam,SRX9432641_SRR12980996_1Aligned.sortedByCoord.out.bam,SRX9432643_SRR12980998_1Aligned.sortedByCoord.out.bam,SRX9432642_SRR12980997_1Aligned.sortedByCoord.out.bam
0,AT1G01010,NAC001,1414,2054,1878,2238,2148,2440
1,AT1G01020,ARV1,618,696,898,638,621,533
3,AT1G01040,DCL1,2391,3338,2494,4096,3189,3201
4,AT1G01046,MIR838A,21,19,41,31,18,41
5,AT1G01050,PPA1,2667,4421,3585,4136,3716,3620
6,AT1G01060,LHY,1657,6949,7287,10384,8554,20474
7,AT1G01070,AT1G01070,952,1186,1165,2912,2710,1893
9,AT1G01080,AT1G01080,508,739,617,470,421,358
10,AT1G01090,PDH-E1 ALPHA,4939,8775,7421,7899,6576,6132
11,AT1G01100,RPP1A,8593,16913,12156,11283,10454,8957
12,AT1G01110,IQD18,345,515,229,526,340,187
14,AT1G01120,KCS1,2819,3260,4087,2572,1520,2825
15,AT1G01130,AT1G01130,74,134,160,136,125,87
16,AT1G01140,CIPK9,312,608,556,1055,725,868
18,AT1G01160,GIF2,900,1508,1219,1426,1428,1069
19,AT1G01170,AT1G01170,517,349,461,825,721,836
20,AT1G01180,AT1G01180,854,1376,1249,1455,1097,1347
22,AT1G01190,CYP78A8,1755,2514,1744,833,1077,1320
23,AT1G01200,RABA3,386,812,637,120,197,123
24,AT1G01210,AT1G01210,634,1387,1023,685,517,817
25,AT1G01220,FKGP,817,1595,1184,1433,1152,1305
26,AT1G01225,AT1G01225,297,540,318,327,286,404
27,AT1G01230,AT1G01230,1500,1740,1940,2625,2009,2211
28,AT1G01240,AT1G01240,1020,896,1135,2552,2647,2283
30,AT1G01260,BHLH13,818,1226,1182,1136,964,823
33,AT1G01290,CNX3,560,1064,760,722,502,623
34,AT1G01300,AT1G01300,3559,5558,3375,2739,2120,2517
37,AT1G01320,AT1G01320,1345,1828,1458,1657,1490,1151
38,AT1G01340,CNGC10,1085,1497,1627,1681,2021,1634
39,AT1G01350,AT1G01350,1080,1779,1441,1194,1314,1317
40,AT1G01355,AT1G01355,34,43,0,33,35,92
41,AT1G01360,PYL9,922,1365,1595,1369,1398,2150
42,AT1G01370,HTR12,329,478,503,366,545,169
43,AT1G01380,ETC1,136,339,175,180,52,208
47,AT1G01420,UGT72B3,115,178,219,77,66,47
48,AT1G01430,TBL25,1351,1554,1522,2066,1374,1548
49,AT1G01440,AT1G01440,779,1083,1069,1605,1194,1248
50,AT1G01448,AT1G01448,208,247,219,390,266,185
54,AT1G01470,LEA14,2641,2997,2805,1818,1904,1945
56,AT1G01480,ACS2,241,273,261,287,204,157
57,AT1G01490,AT1G01490,2093,5001,4502,3387,2832,3438
58,AT1G01500,AT1G01500,433,736,666,564,373,405
59,AT1G01510,AN,2300,3959,2918,3873,3382,3822
62,AT1G01540,AT1G01540,1594,2591,2511,2338,2569,2402
63,AT1G01550,BPS1,8630,12327,11629,12385,11983,10733
64,AT1G01560,MPK11,94,195,176,36,40,125
65,AT1G01570,AT1G01570,226,308,253,179,268,169
66,AT1G01580,FRO2,2315,23001,9365,386,1733,266
68,AT1G01600,CYP86A4,306,431,301,281,179,362
69,AT1G01610,GPAT4,3634,5064,6326,3833,3443,4479
70,AT1G01620,PIP1-3,27381,30659,34885,82947,71956,65118
71,AT1G01630,AT1G01630,1400,2581,2367,2273,1913,1742
72,AT1G01640,AT1G01640,945,1238,1018,2104,1793,1705
73,AT1G01650,SPPL4,1901,3806,2978,3781,3700,3635
74,AT1G01660,PUB55,245,426,396,438,481,372
75,AT1G01670,PUB56,283,388,325,478,603,477
77,AT1G01690,ATPRD3,532,681,555,450,516,501
80,AT1G01710,AT1G01710,1368,2045,1831,2160,1562,1554
81,AT1G01720,NAC002,2366,3117,2965,4073,4104,5005
82,AT1G01725,AT1G01725,237,206,285,410,331,343
83,AT1G01730,AT1G01730,1166,1514,1254,1968,1949,1581
84,AT1G01740,AT1G01740,242,345,291,223,327,213
85,AT1G01750,ADF10,1092,1527,1615,1355,1454,1157
86,AT1G01760,AT1G01760,100,195,164,410,332,243
87,AT1G01770,AT1G01770,816,875,940,2023,1855,1553
88,AT1G01780,PLIM2B,683,1019,969,1756,1378,1060
89,AT1G01790,KEA1,1063,1452,1180,1444,1230,1482
90,AT1G01800,AT1G01800,3212,5456,4956,5195,5229,5542
91,AT1G01810,AT1G01810,20,62,90,44,22,10
92,AT1G01820,PEX11C,2005,2265,2100,3176,3221,2259
93,AT1G01830,AT1G01830,661,833,779,1102,756,673
94,AT1G01840,AT1G01840,31,117,78,53,51,62
95,AT1G01860,PFC1,255,341,327,451,361,294
97,AT1G01880,GEN1,89,177,112,266,142,170
99,AT1G01900,SBTI1.1,330,327,344,222,247,275
100,AT1G01910,AT1G01910,1812,2811,1989,3455,2724,2558
101,AT1G01920,AT1G01920,933,1701,1188,1032,1015,1098
102,AT1G01930,AT1G01930,689,961,975,1213,1005,1153
103,AT1G01940,CYP18-1,597,1047,1079,1165,896,777
104,AT1G01950,ARK2,1143,1833,1834,1569,1327,1505
105,AT1G01960,BIG3,4594,7445,5359,7417,5512,6415
106,AT1G01970,AT1G01970,364,410,405,388,407,526
108,AT1G01990,AT1G01990,522,721,543,1104,721,917
109,AT1G02000,GAE2,534,742,658,817,662,693
110,AT1G02010,SEC1A,316,638,547,709,433,647
111,AT1G02020,AT1G02020,175,325,310,310,221,270
114,AT1G02050,PKSA,344,329,332,512,337,409
115,AT1G02060,AT1G02060,318,396,293,575,545,648
119,AT1G02080,AT1G02080,5588,7397,5968,8238,6202,6678
120,AT1G02090,CSN7,1905,2643,2504,2037,1895,1859
121,AT1G02100,AT1G02100,1927,2802,2419,3544,3172,3644
122,AT1G02110,AT1G02110,1008,1428,1050,1973,1164,1596
